analysis,model_name,outcome,condition_a,condition_b,n_pairs,median_a,median_b,median_difference_a_minus_b,wilcoxon_statistic,p_value_raw,rank_biserial_a_minus_b,p_value_holm,significant_holm
RQ3_full_observed,All_models,group_core_sensitivity,ChatGPT,Claude,100,0.47160838543660466,0.5369822559737247,-0.06451753722072615,393.0,2.292809733096875e-13,-0.8443564356435643,6.878429199290625e-13,True
RQ3_full_observed,All_models,group_core_sensitivity,ChatGPT,Gemini,100,0.47160838543660466,0.49856231892327874,-0.03245875306017093,1169.0,3.125908409111268e-06,-0.5370297029702971,3.125908409111268e-06,True
RQ3_full_observed,All_models,group_core_sensitivity,Claude,Gemini,100,0.5369822559737247,0.49856231892327874,0.031526106189052994,568.0,1.710659743743629e-11,0.7750495049504951,3.421319487487258e-11,True
RQ3_full_observed,All_models,group_semantic_sensitivity,ChatGPT,Claude,100,0.22677913925802723,0.30684298835778123,-0.06946568604784427,309.0,2.5500003530567317e-14,-0.8776237623762376,5.1000007061134634e-14,True
RQ3_full_observed,All_models,group_semantic_sensitivity,ChatGPT,Gemini,100,0.22677913925802723,0.24734118177838654,-0.017210765859826435,1477.0,0.0003141246127325076,-0.41504950495049503,0.0003141246127325076,True
RQ3_full_observed,All_models,group_semantic_sensitivity,Claude,Gemini,100,0.30684298835778123,0.24734118177838654,0.044620195690360354,287.0,1.4152626956877277e-14,0.8863366336633663,4.2457880870631834e-14,True
