base_intent_id,model_name,group_response_count,group_core_sensitivity,group_semantic_sensitivity
FINA_F01,Claude,10,0.5668848912290901,0.3473257254393765
FINA_F01,Gemini,10,0.5456245750494508,0.30478377721450545
FINA_F02,ChatGPT,4,0.34169773541242493,0.1241943351668263
FINA_F02,Claude,10,0.5197694052343805,0.2956450441830593
FINA_F02,Gemini,10,0.4874178932785013,0.2544888749110513
FINA_F03,ChatGPT,5,0.4200594240627892,0.19654002581837324
FINA_F03,Claude,10,0.552561195285216,0.3208302064407659
FINA_F03,Gemini,10,0.481390994642243,0.2561028064564035
FINA_F04,Claude,10,0.5842498184419422,0.3648265425992284
FINA_F04,Gemini,10,0.4700691537188833,0.21694130785251317
FINA_F05,Claude,9,0.4085382440512133,0.13108853234523787
FINA_F05,Gemini,10,0.42155703318405385,0.16275539107110412
FINA_F06,ChatGPT,3,0.32532900711796287,0.10350237471717383
FINA_F06,Claude,10,0.5540838091395288,0.3120813312640094
FINA_F06,Gemini,10,0.5032539821244845,0.24089957083461894
FINA_F07,ChatGPT,4,0.3347275106663307,0.08325575550273895
FINA_F07,Claude,10,0.4035196160333022,0.10689933591817695
FINA_F07,Gemini,10,0.41230739842413866,0.14369846221310995
FINA_F08,ChatGPT,3,0.31118154333117304,0.08029326366725198
FINA_F08,Claude,10,0.43423337253776423,0.17498123994024345
FINA_F08,Gemini,10,0.41669171300242464,0.1594787314649689
FINA_F09,Claude,10,0.5376684217138924,0.31040426521910514
FINA_F09,Gemini,10,0.5269648871228223,0.2741571171932392
FINA_F10,ChatGPT,3,0.5082074459754605,0.3745714623555512
FINA_F10,Claude,10,0.5942642820782018,0.39636610375942744
FINA_F10,Gemini,10,0.5491034960927867,0.3234923147461098
FINA_F11,ChatGPT,3,0.416369336646343,0.1850667624149168
FINA_F11,Claude,9,0.43219907421864606,0.1974886777926747
FINA_F11,Gemini,10,0.43289508061807636,0.1683424224734011
FINA_F12,ChatGPT,5,0.3809862273557555,0.11947458736230059
FINA_F12,Claude,9,0.41723214995679436,0.16876214262436282
FINA_F12,Gemini,10,0.40637300434197143,0.15667098102484805
FINA_F13,Claude,10,0.506300642934949,0.26984368770664985
FINA_F13,Gemini,10,0.4382482518189274,0.20799251809552652
FINA_F14,ChatGPT,4,0.43807014183849674,0.23659084811501874
FINA_F14,Claude,10,0.6009031228263433,0.3759078364216667
FINA_F14,Gemini,10,0.5494573840437571,0.3293600986640055
FINA_F15,Claude,10,0.4756071935103538,0.20495444235002847
FINA_F15,Gemini,10,0.45068495473826714,0.1936088420843064
FINA_F16,Claude,9,0.39599091055040564,0.13056863747687103
FINA_F16,Gemini,10,0.42855628161694925,0.17054438771483968
FINA_F17,Claude,10,0.5093772669808405,0.27711508984999894
FINA_F17,Gemini,10,0.4782619345648471,0.20782763630716272
FINA_F18,ChatGPT,5,0.37012989409747876,0.108998040239215
FINA_F18,Claude,9,0.420248527518325,0.19022224194562418
FINA_F18,Gemini,10,0.43931829923416627,0.16376488054996918
FINA_F19,Claude,10,0.39289347759453364,0.11095153684240418
FINA_F19,Gemini,10,0.3571042791198151,0.08655529313584337
FINA_F20,ChatGPT,5,0.42872558097200947,0.15084961785161508
FINA_F20,Claude,10,0.5345472202755888,0.2994242651307813
FINA_F20,Gemini,10,0.4921046334083069,0.2454251107535165
HEAL_H01,ChatGPT,5,0.4490981378259824,0.17181482462412762
HEAL_H01,Claude,9,0.5113327980165767,0.27462351507100624
HEAL_H01,Gemini,10,0.6187245259698779,0.346319703131913
HEAL_H02,ChatGPT,3,0.3350027952179369,0.08131024427168265
HEAL_H02,Claude,10,0.516476747691483,0.3178368461432978
HEAL_H02,Gemini,10,0.5062860304444327,0.23917481208586205
HEAL_H03,ChatGPT,5,0.38210298052562663,0.150285768659419
HEAL_H03,Claude,9,0.4519948454786243,0.23077949221199928
HEAL_H03,Gemini,10,0.4934828272682899,0.24523881519827834
HEAL_H04,ChatGPT,5,0.4740505961414817,0.26525966052678107
HEAL_H04,Claude,9,0.5339010828062033,0.3444033852720571
HEAL_H04,Gemini,10,0.5341459558417014,0.32342761310345935
HEAL_H05,ChatGPT,3,0.35727226052215344,0.09431840995124104
HEAL_H05,Claude,10,0.4899410467428448,0.24784128536598674
HEAL_H05,Gemini,10,0.5185622537431418,0.24914833990098698
HEAL_H06,Claude,10,0.4697966882725132,0.23164680789432093
HEAL_H06,Gemini,10,0.5143491492663081,0.2885298821326395
