model_name,n,word_count_mean,word_count_median,word_count_sd,lexical_diversity_mean,semantic_divergence_mean,lexical_instability_mean,core_sensitivity_mean,claim_risk_proxy_mean,recommendation_proxy_coverage,token_ceiling_rate
ChatGPT,984,378.5833333333333,390.5,131.48986309333438,0.6255203170731707,0.1114493516084061,0.8137280606799805,0.4763063773710064,0.7263211382113821,0.883130081300813,0.6747967479674797
Claude,1000,230.118,194.0,114.16337132088974,0.725489414,0.14541021053253683,0.8498990261099651,0.5347674492387072,0.6451,0.864,0.03
Gemini,1000,504.998,584.0,183.2845252966362,0.566034943,0.12083690382506551,0.8416016470528529,0.501800663161861,0.7854500000000001,0.873,0.0
