base_intent_id,domain,model_name,group_response_count,group_core_sensitivity,group_semantic_sensitivity,group_claim_risk_proxy,group_recommendation_instability,group_token_ceiling_rate
FINA_F01,Finance,ChatGPT,8,0.5327393538957258,0.2837952067348134,0.8375,0.9930647733703761,0.75
FINA_F01,Finance,Claude,10,0.5668848912290901,0.3473257254393765,0.97,0.9926735011407265,0.0
FINA_F01,Finance,Gemini,10,0.5456245750494508,0.30478377721450545,0.8400000000000001,0.9976851851851851,0.0
FINA_F02,Finance,ChatGPT,10,0.4072332896432417,0.1715405782382437,0.795,0.986817052587662,0.6
FINA_F02,Finance,Claude,10,0.5197694052343805,0.2956450441830593,0.865,0.9957837301587302,0.0
FINA_F02,Finance,Gemini,10,0.4874178932785013,0.2544888749110513,0.77,1.0,0.0
FINA_F03,Finance,ChatGPT,10,0.4154038376743327,0.19793478693575556,0.9550000000000001,0.9952499838789913,0.5
FINA_F03,Finance,Claude,10,0.552561195285216,0.3208302064407659,0.8400000000000001,1.0,0.0
FINA_F03,Finance,Gemini,10,0.481390994642243,0.2561028064564035,0.825,0.9373563911860059,0.0
FINA_F04,Finance,ChatGPT,10,0.4727170953870964,0.22983653538004747,0.7,0.9764940770188549,0.8
FINA_F04,Finance,Claude,10,0.5842498184419422,0.3648265425992284,0.5700000000000001,0.9752237578420443,0.0
FINA_F04,Finance,Gemini,10,0.4700691537188833,0.21694130785251317,0.72,0.9781715633676418,0.0
FINA_F05,Finance,ChatGPT,10,0.36241251387359824,0.12695746255203288,0.8800000000000001,0.9896010080277322,0.8
FINA_F05,Finance,Claude,10,0.43677530212290244,0.15237195447106605,0.8799999999999999,0.9816924687901292,0.1
FINA_F05,Finance,Gemini,10,0.42155703318405385,0.16275539107110412,0.8800000000000001,1.0,0.0
FINA_F06,Finance,ChatGPT,10,0.4597201643455436,0.1818529952500853,0.8550000000000001,0.9936682365253794,0.7
FINA_F06,Finance,Claude,10,0.5540838091395288,0.3120813312640094,0.7849999999999999,0.9976851851851851,0.0
FINA_F06,Finance,Gemini,10,0.5032539821244845,0.24089957083461894,0.825,0.9910714285714286,0.0
FINA_F07,Finance,ChatGPT,10,0.34835254492448287,0.07564989394859277,0.375,0.98512889393195,0.6
FINA_F07,Finance,Claude,10,0.4035196160333022,0.10689933591817695,0.545,0.9985714285714286,0.0
FINA_F07,Finance,Gemini,10,0.41230739842413866,0.14369846221310995,0.755,1.0,0.0
FINA_F08,Finance,ChatGPT,10,0.34285904526021127,0.09283076576396009,0.755,0.9945703708986406,0.7
FINA_F08,Finance,Claude,10,0.43423337253776423,0.17498123994024345,0.6849999999999999,0.9561577482705778,0.0
FINA_F08,Finance,Gemini,10,0.41669171300242464,0.1594787314649689,0.825,0.9978632478632478,0.0
FINA_F09,Finance,ChatGPT,10,0.5848564969651696,0.34121559249899686,0.7,1.0,0.8
